ClosingStrategy,ObservationTableCEXHandler,SUL name,Seed,Cache,EquivalenceOracle,Method,Iter,HypSize,CESize,Info
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,1,9,5,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,2,10,8,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,3,11,5,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,4,13,8,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,5,15,7,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,6,16,6,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,7,24,11,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,8,25,9,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,9,26,12,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,10,27,6,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,11,28,9,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,12,29,9,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,13,36,11,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,14,37,11,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,15,38,11,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,16,42,11,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,17,43,11,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,18,44,14,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,19,45,14,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,20,53,15,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,21,54,3,8B2l   xxx
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,22,55,0,8B2l   xxx
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,1,13,7,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,2,15,5,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,3,16,8,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,4,18,5,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,5,20,10,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,6,22,7,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,7,27,6,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,8,29,6,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,9,30,10,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,10,34,11,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,11,36,11,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,12,37,3,7Zi6
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682883555,Y,"LearnlibEQOracle(w,1)",L*M,13,38,0,7Zi6
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,1,15,5,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,2,16,8,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,3,17,5,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,4,19,9,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,5,20,9,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,6,21,7,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,7,26,5,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,8,28,10,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,9,29,9,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,10,33,12,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,11,34,11,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,12,35,11,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,13,36,9,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,14,38,10,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,15,43,10,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,16,44,10,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,17,46,14,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,18,49,14,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,19,50,14,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,20,52,15,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,21,54,3,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,22,55,7,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682883585,Y,"LearnlibEQOracle(w,1)",L*M,23,57,0,PjU3
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682883592,Y,"LearnlibEQOracle(w,1)",L*M,1,13,5,70IC
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682883592,Y,"LearnlibEQOracle(w,1)",L*M,2,14,5,70IC
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682883592,Y,"LearnlibEQOracle(w,1)",L*M,3,15,0,70IC
CloseFirst,RivestSchapire,TCP_FreeBSD_Client.dot,1642682883593,Y,"LearnlibEQOracle(w,1)",L*M,1,10,0,7oCc
CloseFirst,RivestSchapire,TCP_Windows8_Client.dot,1642682883604,Y,"LearnlibEQOracle(w,1)",L*M,1,11,5,8QFr
CloseFirst,RivestSchapire,TCP_Windows8_Client.dot,1642682883604,Y,"LearnlibEQOracle(w,1)",L*M,2,13,0,8QFr
CloseFirst,RivestSchapire,TCP_FreeBSD_Client.dot,1642682883622,Y,"LearnlibEQOracle(wp,1)",L*M,1,10,0,Hv09
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,1,9,5,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,2,10,8,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,3,11,7,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,4,13,8,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,5,15,7,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,6,16,6,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,7,24,10,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,8,25,9,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,9,26,11,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,10,27,6,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,11,28,8,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,12,36,11,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,13,37,10,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,14,41,13,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,15,42,11,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,16,43,13,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,17,46,14,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,18,50,17,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,19,51,16,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,20,52,10,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,21,53,15,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,22,54,9,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,23,55,0,8WpA
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682885906,Y,"LearnlibEQOracle(wp,1)",L*M,1,13,5,3KwY
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682885906,Y,"LearnlibEQOracle(wp,1)",L*M,2,14,5,3KwY
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682885906,Y,"LearnlibEQOracle(wp,1)",L*M,3,15,0,3KwY
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,1,15,5,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,2,16,8,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,3,17,5,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,4,19,9,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,5,20,9,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,6,21,10,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,7,26,7,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,8,28,10,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,9,29,8,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,10,30,8,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,11,33,11,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,12,34,11,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,13,35,11,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,14,36,9,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,15,38,10,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,16,43,10,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,17,44,14,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,18,49,14,jMo7
